brand_name,peta,leaping_bunny,parent_company,parent_status,notes
Habit By Day,TRUE,FALSE,,unknown,
Habit Cosmetics,TRUE,FALSE,,unknown,
Hada Luna Valparaiso,TRUE,FALSE,,unknown,
Hair Brew,FALSE,TRUE,,unknown,
Hair Food,TRUE,FALSE,Procter & Gamble,bad,P&G sells in China
HAIR JAZZ,TRUE,FALSE,,unknown,
Hair Rules,TRUE,FALSE,,unknown,
Hair Work,TRUE,FALSE,,unknown,
HAIRGURT,FALSE,TRUE,,unknown,
Hairitage,TRUE,FALSE,,unknown,
Hairitage by Mindy McKnight,TRUE,FALSE,,unknown,
Hairstory,FALSE,TRUE,,unknown,
Hairtamin,TRUE,FALSE,,unknown,
HAJ TAHER MASRI,TRUE,FALSE,,unknown,
HAKA Kunz,TRUE,FALSE,,unknown,
Halal and Beautiful Healthy Vegan Cosmetics,TRUE,FALSE,,unknown,
HALALLES,TRUE,FALSE,,unknown,
Haleys Beauty,TRUE,FALSE,,unknown,
Half Magic Beauty,FALSE,TRUE,,unknown,
Hally Hair,FALSE,TRUE,,unknown,
Hallyu,FALSE,TRUE,,unknown,
Halo Hair Oil,FALSE,TRUE,,unknown,
"Halo, Purely for Pets",TRUE,FALSE,,unknown,
Halovida,TRUE,FALSE,,unknown,
Hamel,TRUE,FALSE,,unknown,
Hampton Sun,FALSE,TRUE,,unknown,
HAN Skin Care Cosmetics,TRUE,FALSE,,unknown,
HANA Organic Skincare,TRUE,FALSE,,unknown,
Hanalei,FALSE,TRUE,,unknown,
Hanalei Beauty Company,TRUE,FALSE,,unknown,
Hand Over Heart,TRUE,TRUE,,unknown,
HandMade Beauty,TRUE,FALSE,,unknown,
Handmade by Samantha,TRUE,FALSE,,unknown,
Handmade Heroes,TRUE,FALSE,,unknown,
Handmade Natural Beauty,TRUE,FALSE,,unknown,
Hands on Veggies,TRUE,FALSE,,unknown,
HANDY SPA,TRUE,FALSE,,unknown,
Hanhoo,TRUE,FALSE,,unknown,
HANJAN,TRUE,FALSE,Summer Korea Corporation,ok,
Hannah Cho Beauty,TRUE,FALSE,,unknown,
Hanni,FALSE,TRUE,,unknown,
Hansim,TRUE,FALSE,,unknown,
Hanson Skincare,FALSE,TRUE,,unknown,
Happi,TRUE,FALSE,,unknown,
Happi Hippo Plant Organics,TRUE,FALSE,,unknown,
Happier Beauty,TRUE,FALSE,Hakkawise,ok,
Happy Blush,TRUE,FALSE,,unknown,
Happy Dog Food,TRUE,FALSE,,unknown,
Happy Ends Australia,TRUE,FALSE,,unknown,
Happy Hair People,TRUE,FALSE,SLG Brands,ok,
Happy Hippo Bath Co,TRUE,FALSE,,unknown,
Happy Me Skincare,TRUE,FALSE,"PEY Beauty and Health, LLC",ok,
Happy Pet Days,TRUE,FALSE,,unknown,
Happy Pits Natural Vegan Deodorant,FALSE,TRUE,,unknown,
Happy Place,TRUE,FALSE,,unknown,
Happy Plant Botanicals,FALSE,TRUE,,unknown,
Happy Skin,TRUE,FALSE,,unknown,
Happy Skin Cosmetics,TRUE,FALSE,,unknown,
Happy Spritz,TRUE,TRUE,,unknown,
Happy Squad,FALSE,TRUE,,unknown,
happybrush,TRUE,FALSE,,unknown,
HappySkin,TRUE,FALSE,,unknown,
Harbingers of a New Age,TRUE,FALSE,,unknown,
Hard Candy,TRUE,FALSE,,unknown,
Hard Night Good Morning,FALSE,TRUE,,unknown,
Hareemistanbul,TRUE,FALSE,Tls iç ve dış ticaret limited Şirketi,ok,
Harlo,TRUE,FALSE,,unknown,
Harlow Skin Company Inc,FALSE,TRUE,,unknown,
Harmony,FALSE,TRUE,,unknown,
Harriet Herbery,TRUE,FALSE,,unknown,
